Framework,CVE ID,Reference URLs
,CVE-1999-1137,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/122&type=0&nav=sec.sba', 'http://www.ciac.org/ciac/bulletins/e-01.shtml', 'http://www.osvdb.org/6436', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/549']"
,CVE-1999-0334,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0334']
,CVE-1999-0181,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0181']
,CVE-1999-1242,"['http://packetstormsecurity.org/advisories/hpalert/003', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2162']"
,CVE-1999-0211,['http://www.securityfocus.com/bid/24']
,CVE-1999-0338,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0338']
,CVE-1999-0120,['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/126']
,CVE-1999-1135,"['http://packetstorm.securify.com/advisories/hpalert/027', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2284']"
,CVE-1999-1146,"['http://www.securityfocus.com/advisories/1555', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2060']"
,CVE-1999-1388,"['http://www.dataguard.no/bugtraq/1994_4/0755.html', 'http://www2.dataguard.no/bugtraq/1994_2/0197.html', 'http://www2.dataguard.no/bugtraq/1994_2/0207.html']"
,CVE-1999-1134,"['http://ciac.llnl.gov/ciac/bulletins/e-23.shtml', 'http://packetstorm.securify.com/advisories/hpalert/008', 'http://www.iss.net/security_center/static/2284.php']"
,CVE-1999-0113,['http://www.securityfocus.com/bid/458']
,CVE-1999-0423,['http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9903-093']
,CVE-1999-0337,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0337']
,CVE-1999-0207,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0207']
,CVE-1999-1239,"['http://www.securityfocus.com/advisories/1559', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2261']"
,CVE-1999-1552,"['http://lists.insecure.org/lists/bugtraq/1994/Jul/0038.html', 'http://www.securityfocus.com/bid/358']"
,CVE-1999-1494,"['ftp://patches.sgi.com/support/free/security/advisories/19950209-01-P', 'http://www.securityfocus.com/archive/1/675', 'http://www.securityfocus.com/bid/336', 'http://www.tryc.on.ca/archives/bugtraq/1995_1/0614.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2112']"
,CVE-1999-1219,"['http://ciac.llnl.gov/ciac/bulletins/e-33.shtml', 'http://www.cert.org/advisories/CA-1994-13.html', 'http://www.securityfocus.com/bid/468', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/511']"
,CVE-1999-1238,"['http://www.securityfocus.com/advisories/1531', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2262']"
,CVE-1999-1022,"['http://www.securityfocus.com/archive/1/930', 'http://www.securityfocus.com/bid/464', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2111']"
,CVE-1999-1310,[]
,CVE-1999-1248,"['http://packetstormsecurity.org/advisories/hpalert/019', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2058']"
,CVE-1999-1302,"['http://ciac.llnl.gov/ciac/bulletins/f-05.shtml', 'http://ftp.cerias.purdue.edu/pub/advisories/cert/cert_bulletins/VB-94:01.sco', 'http://www.osvdb.org/8797', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7586']"
,CVE-1999-1303,['http://ciac.llnl.gov/ciac/bulletins/f-05.shtml']
,CVE-1999-1304,['http://ciac.llnl.gov/ciac/bulletins/f-05.shtml']
,CVE-1999-1305,['http://ciac.llnl.gov/ciac/bulletins/f-05.shtml']
,CVE-2000-0508,"['http://archives.neohapsis.com/archives/bugtraq/2000-06/0073.html', 'http://www.securityfocus.com/bid/1372', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/5050']"
,CVE-1999-0077,['https://exchange.xforce.ibmcloud.com/vulnerabilities/139']
,CVE-1999-0232,['https://www.cve.org/CVERecord?id=CVE-1999-0232']
,CVE-1999-0235,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0235']
,CVE-1999-0242,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0242']
,CVE-1999-1098,"['http://www.cert.org/advisories/CA-1995-03.html', 'http://www.ciac.org/ciac/bulletins/f-12.shtml', 'http://www.iss.net/security_center/static/516.php', 'http://www.osvdb.org/4881']"
,CVE-1999-1243,"['ftp://patches.sgi.com/support/free/security/advisories/19950301-01-P373', 'http://ciac.llnl.gov/ciac/bulletins/f-16.shtml', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/2113']"
,CVE-1999-0151,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0151']
,CVE-1999-1080,"['http://marc.info/?l=bugtraq&m=92633694100270&w=2', 'http://marc.info/?l=bugtraq&m=93971288323395&w=2', 'http://www.securityfocus.com/bid/250', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/8350']"
,CVE-1999-0066,['http://www.securityfocus.com/bid/719']
,CVE-1999-0161,['http://www.osvdb.org/797']
,CVE-1999-0172,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0172']
,CVE-1999-0203,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0203']
,CVE-1999-1580,"['http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-21.html', 'http://www.auscert.org.au/render.html?it=1853&cid=1978', 'http://www.cert.org/advisories/CA-95.11.sun.sendmail-oR.vul', 'http://www.kb.cert.org/vuls/id/3278', 'http://www.securityfocus.com/bid/7829']"
,CVE-1999-0164,['http://www.osvdb.org/8346']
,CVE-1999-0155,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0155']
,CVE-1999-0245,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0245']
,CVE-1999-0218,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0218']
,CVE-1999-0073,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0073']
,CVE-1999-0099,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0099']
,CVE-1999-0241,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0241']
,CVE-1999-0080,['https://archive.nanog.org/mailinglist/mailarchives/old_archive/1995-11/msg00385.html']
,CVE-1999-0123,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0123']
,CVE-1999-0316,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0316']
,CVE-1999-0325,['http://www1.itrc.hp.com/service/cki/docDisplay.do?docId=HPSBUX9406-013']
,CVE-1999-0208,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0208']
,CVE-1999-1186,['http://marc.info/?l=bugtraq&m=87602167418966&w=2']
,CVE-1999-1319,"['ftp://patches.sgi.com/support/free/security/advisories/19960101-01-PX', 'http://www.iss.net/security_center/static/7430.php']"
,CVE-1999-1491,"['http://marc.info/?l=bugtraq&m=87602167418994&w=2', 'http://www.securityfocus.com/bid/354']"
,CVE-1999-0103,['https://ics-cert.us-cert.gov/advisories/ICSMA-18-233-01']
,CVE-1999-0143,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0143']
,CVE-1999-0233,"['http://support.microsoft.com/default.aspx?scid=kb;[LN];Q148188', 'http://support.microsoft.com/default.aspx?scid=kb;[LN];Q155056']"
,CVE-1999-0142,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0142']
,CVE-1999-0067,"['http://www.cert.org/advisories/CA-1996-06.html', 'http://www.osvdb.org/136', 'http://www.securityfocus.com/bid/629']"
,CVE-1999-0141,['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/134']
