URL,Repo Name,Date,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,License Info,License Type
https://github.com/opencv/opencv/pull/1890,opencv,2013-11-29T01:18:36Z,opencv/modules/ts/src/ts.cpp,file,0.38461538461538464,4,0,0.0,0,0,0.0,0,1,0.25,0.15384615384615385,4,1.0,0.25,1297,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/20529,opencv,2021-08-10T01:46:20Z,opencv/modules/videoio/src/cap_android_camera.cpp,file,0.5,3,0,0.0,0,0,0.0,0,0,0.0,0,3,1.0,0.3333333333333333,4108,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/opencv/opencv/pull/15025,opencv,2019-07-11T20:53:07Z,opencv/modules/imgproc/src/filter.simd.hpp,file,0.1513157894736842,33,28,0.8484848484848485,0.01715225563909775,31,0.9393939393939394,0.023132427843803056,33,1.0,0.030303030303030304,33,1.0,0.030303030303030304,3348,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive
https://github.com/pytorch/pytorch/pull/51305,pytorch,2021-01-28T21:50:16Z,pytorch/test/onnx/test_pytorch_onnx_onnxruntime.py,file,0.34770114942528735,53,48,0.9056603773584906,0.007064176245210728,51,0.9622641509433962,0.010705431597926534,52,0.9811320754716981,0.012544208664898329,53,1.0,0.0188679245283019,3291,"[1, 10, 20, 19, 5]",t5,SI,MIT,permissive
https://github.com/pytorch/pytorch/pull/51305,pytorch,2021-01-28T21:50:16Z,pytorch/torch/csrc/jit/passes/onnx/shape_type_inference.cpp,file,0.48936170212765956,14,12,0.8571428571428571,0.02836879432624113,12,0.8571428571428571,0.02836879432624113,13,0.9285714285714286,0.039279869067103096,14,1.0,0.07142857142857142,3291,"[1, 10, 20, 19, 5]",t5,SI,MIT,permissive
https://github.com/pytorch/pytorch/pull/51305,pytorch,2021-01-28T21:50:16Z,pytorch/scripts/onnx/test.sh,file,0.23684210526315788,18,10,0.5555555555555556,0.02631578947368421,16,0.8888888888888888,0.041118421052631575,17,0.9444444444444444,0.04489164086687306,18,1.0,0.05555555555555555,3291,"[1, 10, 20, 19, 5]",t5,SI,MIT,permissive
https://github.com/pytorch/pytorch/pull/5945,pytorch,2018-03-22T17:47:13Z,pytorch/test/test_autograd.py,file,0.23646723646723647,55,51,0.9272727272727272,0.006871124518183345,51,0.9272727272727272,0.006871124518183345,54,0.9818181818181818,0.014139495620977086,55,1.0,0.018181818181818167,2248,"[0, 2, 0, 13, 0]",t5,SI,MIT,permissive
https://github.com/pytorch/pytorch/pull/5945,pytorch,2018-03-22T17:47:13Z,pytorch/tools/autograd/templates/Functions.cpp,file,0.16483516483516483,26,19,0.7307692307692307,0.015037593984962402,24,0.9230769230769231,0.02838827838827838,26,1.0,0.03846153846153845,26,1.0,0.03846153846153845,2248,"[0, 2, 0, 13, 0]",t5,SI,MIT,permissive
https://github.com/tensorflow/tensorflow/pull/18465,tensorflow,2018-04-12T17:00:48Z,tensorflow/tensorflow/python/ops/nn_ops.py,file,0.1896551724137931,85,82,0.9647058823529412,0.008042472666105967,84,0.9882352941176471,0.009646962233169123,85,1.0,0.01176470588235293,85,1.0,0.01176470588235293,888,"[1, 14, 27, 6, 1]",t4,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/18465,tensorflow,2018-04-12T17:00:48Z,tensorflow/tensorflow/python/kernel_tests/conv3d_transpose_test.py,file,0.3333333333333333,4,0,0.0,0,0,0.0,0,2,0.5,0.16666666666666666,4,1.0,0.24999999999999997,888,"[1, 14, 27, 6, 1]",t4,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/51758,tensorflow,2021-08-31T03:15:02Z,tensorflow/tensorflow/c/kernels.cc,file,0.4225352112676056,12,6,0.5,0.018779342723004692,8,0.6666666666666666,0.029929577464788738,11,0.9166666666666666,0.05249679897567221,12,1.0,0.08333333333333333,2124,"[2, 27, 74, 36, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/51758,tensorflow,2021-08-31T03:15:02Z,tensorflow/tensorflow/c/kernels_test.cc,file,0.375,14,10,0.7142857142857143,0.023214285714285708,11,0.7857142857142857,0.029220779220779213,13,0.9285714285714286,0.04807692307692308,14,1.0,0.07142857142857142,2124,"[2, 27, 74, 36, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/framework/tensor_types.h,file,0.25,5,0,0.0,0,0,0.0,0,2,0.4,0.125,5,1.0,0.2,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/avgpooling_op.h,file,0.35294117647058826,9,0,0.0,0,5,0.5555555555555556,0.058823529411764705,8,0.8888888888888888,0.08088235294117647,9,1.0,0.1111111111111111,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/bias_op.h,file,0.18181818181818182,8,0,0.0,0,5,0.625,0.09090909090909091,8,1.0,0.125,8,1.0,0.125,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/broadcast_to_op.h,file,0.5555555555555556,5,0,0.0,0,0,0.0,0,4,0.8,0.1111111111111111,4,0.8,0.1111111111111111,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/constant_op_gpu.cu.cc,file,0.2903225806451613,14,9,0.6428571428571429,0.03225806451612903,12,0.8571428571428571,0.04301075268817204,13,0.9285714285714286,0.05459057071960295,14,1.0,0.07142857142857141,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/cwise_op_gpu_select.cu.cc,file,0.13636363636363635,16,12,0.75,0.04545454545454546,14,0.875,0.05194805194805195,16,1.0,0.062499999999999986,16,1.0,0.062499999999999986,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/cwise_ops_gpu_common.cu.h,file,0.1111111111111111,19,12,0.631578947368421,0.037037037037037035,18,0.9473684210526315,0.04938271604938271,19,1.0,0.05263157894736842,19,1.0,0.05263157894736842,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/cwise_ops_gpu_gradients.cu.h,file,0.2857142857142857,6,0,0.0,0,0,0.0,0,5,0.8333333333333334,0.14285714285714285,6,1.0,0.16666666666666663,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/fill_functor.cu.cc,file,0.2647058823529412,17,12,0.7058823529411765,0.029411764705882356,15,0.8823529411764706,0.03725490196078431,16,0.9411764705882353,0.04595588235294118,17,1.0,0.058823529411764705,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/image/extract_image_patches_op.h,file,0.3076923076923077,6,0,0.0,0,3,0.5,0.07692307692307693,4,0.6666666666666666,0.09615384615384616,6,1.0,0.16666666666666666,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/image/extract_volume_patches_op.h,file,0.26666666666666666,7,0,0.0,0,3,0.42857142857142855,0.06666666666666667,5,0.7142857142857143,0.09333333333333334,7,1.0,0.14285714285714285,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/pad_op.h,file,0.14285714285714285,11,0,0.0,0,8,0.7272727272727273,0.07142857142857141,11,1.0,0.09090909090909088,11,1.0,0.09090909090909088,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/reduction_gpu_kernels.cu.h,file,0.5263157894736842,17,15,0.8823529411764706,0.021052631578947368,15,0.8823529411764706,0.021052631578947368,16,0.9411764705882353,0.029605263157894735,16,0.9411764705882353,0.029605263157894735,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/reduction_ops.h,file,0.5,11,8,0.7272727272727273,0.041666666666666664,10,0.9090909090909091,0.049999999999999996,10,0.9090909090909091,0.049999999999999996,11,1.0,0.0909090909090909,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/scan_ops.h,file,0.5555555555555556,4,0,0.0,0,0,0.0,0,2,0.5,0.1111111111111111,3,0.75,0.14814814814814814,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/slice_op.h,file,0.1111111111111111,14,0,0.0,0,10,0.7142857142857143,0.055555555555555566,14,1.0,0.07142857142857144,14,1.0,0.07142857142857144,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/strided_slice_op.h,file,0.2,13,9,0.6923076923076923,0.049999999999999996,11,0.8461538461538461,0.05909090909090908,13,1.0,0.07692307692307694,13,1.0,0.07692307692307694,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/50917,tensorflow,2021-07-23T02:53:15Z,tensorflow/tensorflow/core/kernels/tile_functor.h,file,0.3076923076923077,8,0,0.0,0,5,0.625,0.07692307692307693,7,0.875,0.09890109890109891,8,1.0,0.12499999999999999,2085,"[2, 26, 73, 33, 4]",t5,SI,Apache,permissive
https://github.com/tensorflow/tensorflow/pull/18090,tensorflow,2018-03-29T16:58:43Z,tensorflow/tensorflow/compiler/jit/mark_for_compilation_pass.cc,file,0.26666666666666666,14,10,0.7142857142857143,0.019999999999999997,11,0.7857142857142857,0.024242424242424242,11,0.7857142857142857,0.024242424242424242,14,1.0,0.07142857142857144,874,"[1, 14, 26, 6, 1]",t4,SI,Apache,permissive
https://github.com/BVLC/caffe/pull/1922,caffe,2015-02-20T21:21:19Z,caffe/src/caffe/test/test_lrn_layer.cpp,file,0.34782608695652173,5,1,0.2,0.043478260869565216,1,0.2,0.043478260869565216,3,0.6,0.11594202898550725,5,1.0,0.2,526,"[0, 0, 0, 0, 0]",t4,TI,MIT,permissive
https://github.com/BVLC/caffe/pull/1922,caffe,2015-02-20T21:21:19Z,caffe/src/caffe/layers/lrn_layer.cu,file,0.39285714285714285,8,4,0.5,0.03571428571428571,5,0.625,0.04285714285714285,6,0.75,0.05357142857142857,8,1.0,0.125,526,"[0, 0, 0, 0, 0]",t4,TI,MIT,permissive
